date,price
1970-01-05,0.6410
1970-01-06,0.6430
1970-01-07,0.6470
1970-01-08,0.6470
1970-01-09,0.6450
1970-01-12,0.6470
1970-01-13,0.6520
1970-01-14,0.6530
1970-01-15,0.6500
1970-01-16,0.6450
1970-01-19,0.6430
1970-01-20,0.6320
1970-01-21,0.6250
1970-01-22,0.6260
1970-01-23,0.6240
1970-01-26,0.6120
1970-01-27,0.6120
1970-01-28,0.6160
1970-01-29,0.6160
1970-01-30,0.6060
1970-02-02,0.6060
1970-02-03,0.6050
1970-02-04,0.5960
1970-02-05,0.5840
1970-02-06,0.5820
1970-02-09,0.5910
1970-02-10,0.5950
1970-02-11,0.5950
1970-02-12,0.6040
1970-02-13,0.5970
1970-02-16,0.6070
1970-02-17,0.6030
1970-02-18,0.6110
1970-02-19,0.6020
1970-02-20,0.6020
1970-02-24,0.6010
1970-02-25,0.6000
1970-02-26,0.5996
1970-02-27,0.6044
1970-03-02,0.6170
1970-03-03,0.6160
1970-03-04,0.6130
1970-03-05,0.6150
1970-03-06,0.6130
1970-03-09,0.6040
1970-03-10,0.6050
1970-03-11,0.6140
1970-03-12,0.6170
1970-03-13,0.6170
1970-03-16,0.6110
1970-03-17,0.6140
1970-03-18,0.6140
1970-03-19,0.6100
1970-03-20,0.6100
1970-03-23,0.6100
1970-03-24,0.6150
1970-03-25,0.6260
1970-03-26,0.6330
1970-03-30,0.6270
1970-03-31,0.6260
1970-04-01,0.6420
1970-04-02,0.6440
1970-04-03,0.6430
1970-04-06,0.6460
1970-04-07,0.6510
1970-04-08,0.6460
1970-04-09,0.6370
1970-04-10,0.6430
1970-04-13,0.6460
1970-04-14,0.6460
1970-04-15,0.6370
1970-04-16,0.6430
1970-04-17,0.6400
1970-04-20,0.6430
1970-04-21,0.6510
1970-04-22,0.6520
1970-04-23,0.6500
1970-04-24,0.6460
1970-04-27,0.6344
1970-04-28,0.6344
1970-04-29,0.6310
1970-04-30,0.6344
1970-05-01,0.6340
1970-05-04,0.6340
1970-05-05,0.6340
1970-05-06,0.6320
1970-05-07,0.6360
1970-05-08,0.6440
1970-05-11,0.6400
1970-05-12,0.6360
1970-05-13,0.6400
1970-05-14,0.6440
1970-05-15,0.6470
1970-05-18,0.6460
1970-05-19,0.6460
1970-05-20,0.6460
1970-05-21,0.6540
1970-05-22,0.6560
1970-05-25,0.6520
1970-05-26,0.6440
1970-05-27,0.6500
1970-05-28,0.6500
1970-06-01,0.6450
1970-06-02,0.6500
1970-06-03,0.6530
1970-06-04,0.6560
1970-06-05,0.6530
1970-06-08,0.6520
1970-06-09,0.6540
1970-06-10,0.6550
1970-06-11,0.6550
1970-06-12,0.6600
1970-06-15,0.6660
1970-06-16,0.6650
1970-06-17,0.6460
1970-06-18,0.6400
1970-06-19,0.6400
1970-06-22,0.6300
1970-06-23,0.6340
1970-06-24,0.6250
1970-06-25,0.6364
1970-06-26,0.6360
1970-06-29,0.6516
1970-06-30,0.6426
1970-07-01,0.6360
1970-07-02,0.6360
1970-07-06,0.6240
1970-07-07,0.6320
1970-07-08,0.6500
1970-07-09,0.6430
1970-07-10,0.6440
1970-07-13,0.6410
1970-07-14,0.6360
1970-07-15,0.6400
1970-07-16,0.6410
1970-07-17,0.6360
1970-07-20,0.6310
1970-07-21,0.6310
1970-07-22,0.6320
1970-07-23,0.6410
1970-07-24,0.6420
1970-07-27,0.6430
1970-07-28,0.6410
1970-07-29,0.6540
1970-07-30,0.6510
1970-07-31,0.6560
1970-08-03,0.6630
1970-08-04,0.6610
1970-08-05,0.6600
1970-08-06,0.6620
1970-08-07,0.6660
1970-08-10,0.6770
1970-08-11,0.6760
1970-08-12,0.7030
1970-08-13,0.7240
1970-08-14,0.7270
1970-08-17,0.7900
1970-08-18,0.7440
1970-08-19,0.7760
1970-08-20,0.7620
1970-08-21,0.7460
1970-08-24,0.7470
1970-08-25,0.7630
1970-08-26,0.7584
1970-08-27,0.7744
1970-08-28,0.7814
1970-08-31,0.7866
1970-09-01,0.7650
1970-09-02,0.7770
1970-09-03,0.7810
1970-09-04,0.7900
1970-09-08,0.7960
